State_Abrvtn,Bronze,Silver,Gold,Bperc,Sperc,Gperc
MS,"8,256","89,906",730,0.08,0.91,0.01
UT,"97,205","100,585","1,894",0.49,0.50,0.01
TN,"79,179","118,181","2,465",0.40,0.59,0.01
NJ,"61,525","178,914","4,039",0.25,0.73,0.02
MO,"56,778","140,993","4,051",0.28,0.70,0.02
ME,"34,903","24,968","1,478",0.57,0.41,0.02
MA,"35,883","269,804","8,863",0.11,0.86,0.03
AR,"15,886","46,554","1,920",0.25,0.72,0.03
AZ,"57,301","90,246","4,664",0.38,0.59,0.03
SD,"13,322","14,719",914,0.46,0.51,0.03
FL,"559,378",1279920,"61,087",0.29,0.67,0.03
IN,"45,205","90,556","5,170",0.32,0.64,0.04
NV,"30,963","42,576","3,096",0.40,0.56,0.04
AL,"20,454","131,194","6,998",0.13,0.83,0.04
WV,"6,650","12,428",901,0.33,0.62,0.05
OH,"101,339","83,834","9,567",0.52,0.43,0.05
MI,"124,624","122,631","12,828",0.48,0.47,0.05
TX,"360,655","685,852","63,658",0.32,0.62,0.06
GA,"97,653","335,180","26,596",0.21,0.73,0.06
NH,"18,195","22,815","2,530",0.42,0.52,0.06
KY,"35,686","41,915","4,874",0.43,0.51,0.06
CO,"86,945","66,963","10,186",0.53,0.41,0.06
MT,"27,553","13,260","2,770",0.63,0.30,0.06
CT,"49,326","49,889","6,779",0.47,0.47,0.06
SC,"96,888","100,292","14,936",0.46,0.47,0.07
LA,"28,510","52,937","6,301",0.32,0.60,0.07
ID,"45,861","25,990","6,066",0.59,0.33,0.08
IL,"119,296","148,747","23,757",0.41,0.51,0.08
Total,3769328,6506731,942810,0.34,0.58,0.08
NC,"154,097","295,585","48,501",0.31,0.59,0.10
CA,"462,501","854,505","147,422",0.32,0.58,0.10
WA,"91,210","94,197","23,447",0.44,0.45,0.11
NY,"115,615","100,205","31,044",0.47,0.41,0.13
OR,"62,350","63,826","18,332",0.43,0.44,0.13
WI,"82,633","82,521","28,247",0.43,0.43,0.15
MN,"57,959","32,596","16,787",0.54,0.30,0.16
OK,"55,609","76,953","25,500",0.35,0.49,0.16
VA,"102,272","117,620","46,506",0.38,0.44,0.17
ND,"8,901","8,311","4,088",0.42,0.39,0.19
PA,"90,613","175,650","63,624",0.27,0.53,0.19
VT,"7,087","12,486","5,773",0.28,0.49,0.23
KS,"25,303","38,189","21,790",0.30,0.45,0.26
HI,"5,315","8,121","5,074",0.29,0.44,0.27
NE,"36,229","28,356","25,657",0.40,0.31,0.28
NM,"14,748","15,623","12,294",0.35,0.37,0.29
DC,"5,097","4,507","3,894",0.38,0.33,0.29
AK,"8,761","3,438","5,497",0.50,0.19,0.31
RI,"8,225","15,509","10,804",0.24,0.45,0.31
DE,"7,578","7,902","7,662",0.33,0.34,0.33
MD,"34,549","63,459","55,544",0.22,0.41,0.36
IA,"12,574","19,644","21,993",0.23,0.36,0.41
WY,"4,683","5,679","14,212",0.19,0.23,0.58