State,Sex,Life_expectancy,Range,Country,Latitude,Longitude
Alabama,Total,75.2,75-76,Libya,32.318231,-86.902298
Alaska,Total,77.7,77-78,China,63.588753,-154.493062
Arizona,Total,78.8,78-79,Turkey,34.048928,-111.093731
Arkansas,Total,75.7,75-76,Libya,35.20105,-91.831833
California,Total,80.9,80-81,Kuwait,36.778261,-119.417932
Colorado,Total,80,80-81,Kuwait,39.550051,-105.782067
Connecticut,Total,80.3,80-81,Kuwait,41.603221,-73.087749
Delaware,Total,78.1,78-79,Turkey,38.910832,-75.52767
District of Columbia,Total,78,78-79,Turkey,38.905985,-77.033418
Florida,Total,79,79-80,Columbia,27.664827,-81.515754
Georgia,Total,77.4,77-78,China,32.157435,-82.907123
Hawaii,Total,80.9,80-81,Kuwait,19.898682,-155.665857
Idaho,Total,79.5,79-80,Columbia,44.068202,-114.742041
Illinois,Total,79,79-80,Columbia,40.633125,-89.398528
Indiana,Total,77,77-78,China,40.551217,-85.602364
Iowa,Total,79,79-80,Columbia,41.878003,-93.097702
Kansas,Total,78.2,78-79,Turkey,39.011902,-98.484246
Kentucky,Total,75.5,75-76,Libya,37.839333,-84.270018
Louisiana,Total,75.7,75-76,Libya,31.244823,-92.145024
Maine,Total,78.3,78-79,Turkey,45.253783,-69.445469
Maryland,Total,78.5,78-79,Turkey,39.045755,-76.641271
Massachusetts,Total,80.4,80-81,Kuwait,42.407211,-71.382437
Michigan,Total,78,78-79,Turkey,44.314844,-85.602364
Minnesota,Total,80.4,80-81,Kuwait,46.729553,-94.6859
Mississippi,Total,74.4,74-75,Bangladesh,32.354668,-89.398528
Missouri,Total,76.9,76-77,Hungary,37.964253,-91.831833
Montana,Total,78.4,78-79,Turkey,46.879682,-110.362566
Nebraska,Total,79.2,79-80,Columbia,41.492537,-99.901813
Nevada,Total,78,78-79,Turkey,38.80261,-116.419389
New Hampshire,Total,79.4,79-80,Columbia,43.193852,-71.572395
New Jersey,Total,80.1,80-81,Kuwait,40.058324,-74.405661
New Mexico,Total,76.9,76-77,Hungary,34.97273,-105.032363
New York,Total,80.7,80-81,Kuwait,43.299428,-74.217933
North Carolina,Total,77.6,77-78,China,35.759573,-79.0193
North Dakota,Total,78.8,78-79,Turkey,47.551493,-101.002012
Ohio,Total,76.9,76-77,Hungary,40.417287,-82.907123
Oklahoma,Total,75.7,75-76,Libya,35.007752,-97.092877
Oregon,Total,79.6,79-80,Columbia,43.804133,-120.554201
Pennsylvania,Total,78.3,78-79,Turkey,41.203322,-77.194525
Rhode Island,Total,79.5,79-80,Columbia,41.580095,-71.477429
South Carolina,Total,76.8,76-77,Hungary,33.836081,-81.163725
South Dakota,Total,78.4,78-79,Turkey,43.969515,-99.901813
Tennessee,Total,75.6,75-76,Libya,35.517491,-86.580447
Texas,Total,78.6,78-79,Turkey,31.968599,-99.901813
Utah,Total,79.7,79-80,Columbia,39.32098,-111.093731
Vermont,Total,79.8,79-80,Columbia,44.558803,-72.577841
Virginia,Total,79.1,79-80,Columbia,37.431573,-78.656894
Washington,Total,80,80-81,Kuwait,47.751074,-120.740139
West Virginia,Total,74.5,74-75,Bangladesh,38.597626,-80.454903
Wisconsin,Total,79.3,79-80,Columbia,43.78444,-88.787868
Wyoming,Total,77.7,77-78,China,43.075968,-107.290284