MVP,Count
"Atypical Directorship,Circular ownership",26239
"Atypical Directorship,Jurisdictional risk",187515
"Atypical Directorship,Mass registration",475234
"Atypical Directorship,Outlier age",2764
"Atypical Directorship,Dormancy",14840
"Atypical Directorship,Financial anomalies",107268
"Circular ownership,Jurisdictional risk",1438
"Circular ownership,Mass registration",111
"Circular ownership,Outlier age",24
"Circular ownership,Dormancy",33
"Circular ownership,Financial anomalies",757
"Jurisdictional risk,Mass registration",31841
"Jurisdictional risk,Outlier age",1018
"Jurisdictional risk,Dormancy",803
"Jurisdictional risk,Financial anomalies",11292
"Mass registration,Outlier age",228
"Mass registration,Dormancy",266
"Mass registration,Financial anomalies",7737
"Outlier age,Dormancy",32
"Outlier age,Financial anomalies",433
"Dormancy,Financial anomalies",9294