Country Name,Country Code,Series Name,Series Code,2018 [YR2018]
Argentina,ARG,"Bird species, threatened",EN.BIR.THRD.NO,52
Australia,AUS,"Bird species, threatened",EN.BIR.THRD.NO,52
Brazil,BRA,"Bird species, threatened",EN.BIR.THRD.NO,175
China,CHN,"Bird species, threatened",EN.BIR.THRD.NO,96
France,FRA,"Bird species, threatened",EN.BIR.THRD.NO,16
Germany,DEU,"Bird species, threatened",EN.BIR.THRD.NO,11
India,IND,"Bird species, threatened",EN.BIR.THRD.NO,93
Indonesia,IDN,"Bird species, threatened",EN.BIR.THRD.NO,160
Italy,ITA,"Bird species, threatened",EN.BIR.THRD.NO,17
Japan,JPN,"Bird species, threatened",EN.BIR.THRD.NO,49
"Korea, Rep.",KOR,"Bird species, threatened",EN.BIR.THRD.NO,33
Mexico,MEX,"Bird species, threatened",EN.BIR.THRD.NO,71
Netherlands,NLD,"Bird species, threatened",EN.BIR.THRD.NO,10
Russian Federation,RUS,"Bird species, threatened",EN.BIR.THRD.NO,57
Saudi Arabia,SAU,"Bird species, threatened",EN.BIR.THRD.NO,18
Spain,ESP,"Bird species, threatened",EN.BIR.THRD.NO,19
Switzerland,CHE,"Bird species, threatened",EN.BIR.THRD.NO,9
Turkey,TUR,"Bird species, threatened",EN.BIR.THRD.NO,20
United Kingdom,GBR,"Bird species, threatened",EN.BIR.THRD.NO,11
United States,USA,"Bird species, threatened",EN.BIR.THRD.NO,91
Afghanistan,AFG,"Bird species, threatened",EN.BIR.THRD.NO,16
Albania,ALB,"Bird species, threatened",EN.BIR.THRD.NO,8
Algeria,DZA,"Bird species, threatened",EN.BIR.THRD.NO,15
American Samoa,ASM,"Bird species, threatened",EN.BIR.THRD.NO,8
Andorra,AND,"Bird species, threatened",EN.BIR.THRD.NO,3
Angola,AGO,"Bird species, threatened",EN.BIR.THRD.NO,32
Antigua and Barbuda,ATG,"Bird species, threatened",EN.BIR.THRD.NO,3
Armenia,ARM,"Bird species, threatened",EN.BIR.THRD.NO,14
Aruba,ABW,"Bird species, threatened",EN.BIR.THRD.NO,2
Austria,AUT,"Bird species, threatened",EN.BIR.THRD.NO,13
Azerbaijan,AZE,"Bird species, threatened",EN.BIR.THRD.NO,17
"Bahamas, The",BHS,"Bird species, threatened",EN.BIR.THRD.NO,10
Bahrain,BHR,"Bird species, threatened",EN.BIR.THRD.NO,7
Bangladesh,BGD,"Bird species, threatened",EN.BIR.THRD.NO,36
Barbados,BRB,"Bird species, threatened",EN.BIR.THRD.NO,4
Belarus,BLR,"Bird species, threatened",EN.BIR.THRD.NO,9
Belgium,BEL,"Bird species, threatened",EN.BIR.THRD.NO,8
Belize,BLZ,"Bird species, threatened",EN.BIR.THRD.NO,6
Benin,BEN,"Bird species, threatened",EN.BIR.THRD.NO,12
Bermuda,BMU,"Bird species, threatened",EN.BIR.THRD.NO,3
Bhutan,BTN,"Bird species, threatened",EN.BIR.THRD.NO,21
Bolivia,BOL,"Bird species, threatened",EN.BIR.THRD.NO,55
Bosnia and Herzegovina,BIH,"Bird species, threatened",EN.BIR.THRD.NO,7
Botswana,BWA,"Bird species, threatened",EN.BIR.THRD.NO,16
British Virgin Islands,VGB,"Bird species, threatened",EN.BIR.THRD.NO,3
Brunei Darussalam,BRN,"Bird species, threatened",EN.BIR.THRD.NO,31
Bulgaria,BGR,"Bird species, threatened",EN.BIR.THRD.NO,17
Burkina Faso,BFA,"Bird species, threatened",EN.BIR.THRD.NO,12
Burundi,BDI,"Bird species, threatened",EN.BIR.THRD.NO,15
Cabo Verde,CPV,"Bird species, threatened",EN.BIR.THRD.NO,7
Cambodia,KHM,"Bird species, threatened",EN.BIR.THRD.NO,31
Cameroon,CMR,"Bird species, threatened",EN.BIR.THRD.NO,29
Canada,CAN,"Bird species, threatened",EN.BIR.THRD.NO,24
Cayman Islands,CYM,"Bird species, threatened",EN.BIR.THRD.NO,3
Central African Republic,CAF,"Bird species, threatened",EN.BIR.THRD.NO,16
Chad,TCD,"Bird species, threatened",EN.BIR.THRD.NO,16
Channel Islands,CHI,"Bird species, threatened",EN.BIR.THRD.NO,..
Chile,CHL,"Bird species, threatened",EN.BIR.THRD.NO,35
Colombia,COL,"Bird species, threatened",EN.BIR.THRD.NO,126
Comoros,COM,"Bird species, threatened",EN.BIR.THRD.NO,14
"Congo, Dem. Rep.",COD,"Bird species, threatened",EN.BIR.THRD.NO,42
"Congo, Rep.",COG,"Bird species, threatened",EN.BIR.THRD.NO,7
Costa Rica,CRI,"Bird species, threatened",EN.BIR.THRD.NO,27
Cote d'Ivoire,CIV,"Bird species, threatened",EN.BIR.THRD.NO,25
Croatia,HRV,"Bird species, threatened",EN.BIR.THRD.NO,14
Cuba,CUB,"Bird species, threatened",EN.BIR.THRD.NO,19
Curacao,CUW,"Bird species, threatened",EN.BIR.THRD.NO,2
Cyprus,CYP,"Bird species, threatened",EN.BIR.THRD.NO,7
Czech Republic,CZE,"Bird species, threatened",EN.BIR.THRD.NO,9
Denmark,DNK,"Bird species, threatened",EN.BIR.THRD.NO,9
Djibouti,DJI,"Bird species, threatened",EN.BIR.THRD.NO,12
Dominica,DMA,"Bird species, threatened",EN.BIR.THRD.NO,7
Dominican Republic,DOM,"Bird species, threatened",EN.BIR.THRD.NO,17
Ecuador,ECU,"Bird species, threatened",EN.BIR.THRD.NO,106
"Egypt, Arab Rep.",EGY,"Bird species, threatened",EN.BIR.THRD.NO,14
El Salvador,SLV,"Bird species, threatened",EN.BIR.THRD.NO,7
Equatorial Guinea,GNQ,"Bird species, threatened",EN.BIR.THRD.NO,6
Eritrea,ERI,"Bird species, threatened",EN.BIR.THRD.NO,21
Estonia,EST,"Bird species, threatened",EN.BIR.THRD.NO,9
Eswatini,SWZ,"Bird species, threatened",EN.BIR.THRD.NO,13
Ethiopia,ETH,"Bird species, threatened",EN.BIR.THRD.NO,35
Faroe Islands,FRO,"Bird species, threatened",EN.BIR.THRD.NO,6
Fiji,FJI,"Bird species, threatened",EN.BIR.THRD.NO,14
Finland,FIN,"Bird species, threatened",EN.BIR.THRD.NO,11
French Polynesia,PYF,"Bird species, threatened",EN.BIR.THRD.NO,35
Gabon,GAB,"Bird species, threatened",EN.BIR.THRD.NO,7
"Gambia, The",GMB,"Bird species, threatened",EN.BIR.THRD.NO,14
Georgia,GEO,"Bird species, threatened",EN.BIR.THRD.NO,14
Ghana,GHA,"Bird species, threatened",EN.BIR.THRD.NO,23
Gibraltar,GIB,"Bird species, threatened",EN.BIR.THRD.NO,6
Greece,GRC,"Bird species, threatened",EN.BIR.THRD.NO,17
Greenland,GRL,"Bird species, threatened",EN.BIR.THRD.NO,6
Grenada,GRD,"Bird species, threatened",EN.BIR.THRD.NO,2
Guam,GUM,"Bird species, threatened",EN.BIR.THRD.NO,14
Guatemala,GTM,"Bird species, threatened",EN.BIR.THRD.NO,17
Guinea,GIN,"Bird species, threatened",EN.BIR.THRD.NO,20
Guinea-Bissau,GNB,"Bird species, threatened",EN.BIR.THRD.NO,12
Guyana,GUY,"Bird species, threatened",EN.BIR.THRD.NO,16
Haiti,HTI,"Bird species, threatened",EN.BIR.THRD.NO,17
Honduras,HND,"Bird species, threatened",EN.BIR.THRD.NO,14
"Hong Kong SAR, China",HKG,"Bird species, threatened",EN.BIR.THRD.NO,21
Hungary,HUN,"Bird species, threatened",EN.BIR.THRD.NO,13
Iceland,ISL,"Bird species, threatened",EN.BIR.THRD.NO,7
"Iran, Islamic Rep.",IRN,"Bird species, threatened",EN.BIR.THRD.NO,28
Iraq,IRQ,"Bird species, threatened",EN.BIR.THRD.NO,17
Ireland,IRL,"Bird species, threatened",EN.BIR.THRD.NO,9
Isle of Man,IMN,"Bird species, threatened",EN.BIR.THRD.NO,0
Israel,ISR,"Bird species, threatened",EN.BIR.THRD.NO,18
Jamaica,JAM,"Bird species, threatened",EN.BIR.THRD.NO,11
Jordan,JOR,"Bird species, threatened",EN.BIR.THRD.NO,14
Kazakhstan,KAZ,"Bird species, threatened",EN.BIR.THRD.NO,27
Kenya,KEN,"Bird species, threatened",EN.BIR.THRD.NO,44
Kiribati,KIR,"Bird species, threatened",EN.BIR.THRD.NO,6
"Korea, Dem. People’s Rep.",PRK,"Bird species, threatened",EN.BIR.THRD.NO,29
Kosovo,XKX,"Bird species, threatened",EN.BIR.THRD.NO,..
Kuwait,KWT,"Bird species, threatened",EN.BIR.THRD.NO,11
Kyrgyz Republic,KGZ,"Bird species, threatened",EN.BIR.THRD.NO,15
Lao PDR,LAO,"Bird species, threatened",EN.BIR.THRD.NO,29
Latvia,LVA,"Bird species, threatened",EN.BIR.THRD.NO,11
Lebanon,LBN,"Bird species, threatened",EN.BIR.THRD.NO,11
Lesotho,LSO,"Bird species, threatened",EN.BIR.THRD.NO,8
Liberia,LBR,"Bird species, threatened",EN.BIR.THRD.NO,14
Libya,LBY,"Bird species, threatened",EN.BIR.THRD.NO,8
Liechtenstein,LIE,"Bird species, threatened",EN.BIR.THRD.NO,2
Lithuania,LTU,"Bird species, threatened",EN.BIR.THRD.NO,10
Luxembourg,LUX,"Bird species, threatened",EN.BIR.THRD.NO,3
"Macao SAR, China",MAC,"Bird species, threatened",EN.BIR.THRD.NO,4
Madagascar,MDG,"Bird species, threatened",EN.BIR.THRD.NO,37
Malawi,MWI,"Bird species, threatened",EN.BIR.THRD.NO,19
Malaysia,MYS,"Bird species, threatened",EN.BIR.THRD.NO,63
Maldives,MDV,"Bird species, threatened",EN.BIR.THRD.NO,0
Mali,MLI,"Bird species, threatened",EN.BIR.THRD.NO,17
Malta,MLT,"Bird species, threatened",EN.BIR.THRD.NO,5
Marshall Islands,MHL,"Bird species, threatened",EN.BIR.THRD.NO,4
Mauritania,MRT,"Bird species, threatened",EN.BIR.THRD.NO,19
Mauritius,MUS,"Bird species, threatened",EN.BIR.THRD.NO,12
"Micronesia, Fed. Sts.",FSM,"Bird species, threatened",EN.BIR.THRD.NO,12
Moldova,MDA,"Bird species, threatened",EN.BIR.THRD.NO,11
Monaco,MCO,"Bird species, threatened",EN.BIR.THRD.NO,0
Mongolia,MNG,"Bird species, threatened",EN.BIR.THRD.NO,24
Montenegro,MNE,"Bird species, threatened",EN.BIR.THRD.NO,13
Morocco,MAR,"Bird species, threatened",EN.BIR.THRD.NO,18
Mozambique,MOZ,"Bird species, threatened",EN.BIR.THRD.NO,30
Myanmar,MMR,"Bird species, threatened",EN.BIR.THRD.NO,56
Namibia,NAM,"Bird species, threatened",EN.BIR.THRD.NO,32
Nauru,NRU,"Bird species, threatened",EN.BIR.THRD.NO,2
Nepal,NPL,"Bird species, threatened",EN.BIR.THRD.NO,38
New Caledonia,NCL,"Bird species, threatened",EN.BIR.THRD.NO,17
New Zealand,NZL,"Bird species, threatened",EN.BIR.THRD.NO,69
Nicaragua,NIC,"Bird species, threatened",EN.BIR.THRD.NO,17
Niger,NER,"Bird species, threatened",EN.BIR.THRD.NO,13
Nigeria,NGA,"Bird species, threatened",EN.BIR.THRD.NO,21
North Macedonia,MKD,"Bird species, threatened",EN.BIR.THRD.NO,13
Northern Mariana Islands,MNP,"Bird species, threatened",EN.BIR.THRD.NO,17
Norway,NOR,"Bird species, threatened",EN.BIR.THRD.NO,11
Oman,OMN,"Bird species, threatened",EN.BIR.THRD.NO,13
Pakistan,PAK,"Bird species, threatened",EN.BIR.THRD.NO,33
Palau,PLW,"Bird species, threatened",EN.BIR.THRD.NO,6
Panama,PAN,"Bird species, threatened",EN.BIR.THRD.NO,25
Papua New Guinea,PNG,"Bird species, threatened",EN.BIR.THRD.NO,39
Paraguay,PRY,"Bird species, threatened",EN.BIR.THRD.NO,27
Peru,PER,"Bird species, threatened",EN.BIR.THRD.NO,119
Philippines,PHL,"Bird species, threatened",EN.BIR.THRD.NO,93
Poland,POL,"Bird species, threatened",EN.BIR.THRD.NO,11
Portugal,PRT,"Bird species, threatened",EN.BIR.THRD.NO,15
Puerto Rico,PRI,"Bird species, threatened",EN.BIR.THRD.NO,11
Qatar,QAT,"Bird species, threatened",EN.BIR.THRD.NO,9
Romania,ROU,"Bird species, threatened",EN.BIR.THRD.NO,17
Rwanda,RWA,"Bird species, threatened",EN.BIR.THRD.NO,20
Samoa,WSM,"Bird species, threatened",EN.BIR.THRD.NO,6
San Marino,SMR,"Bird species, threatened",EN.BIR.THRD.NO,0
Sao Tome and Principe,STP,"Bird species, threatened",EN.BIR.THRD.NO,12
Senegal,SEN,"Bird species, threatened",EN.BIR.THRD.NO,19
Serbia,SRB,"Bird species, threatened",EN.BIR.THRD.NO,13
Seychelles,SYC,"Bird species, threatened",EN.BIR.THRD.NO,13
Sierra Leone,SLE,"Bird species, threatened",EN.BIR.THRD.NO,16
Singapore,SGP,"Bird species, threatened",EN.BIR.THRD.NO,22
Sint Maarten (Dutch part),SXM,"Bird species, threatened",EN.BIR.THRD.NO,1
Slovak Republic,SVK,"Bird species, threatened",EN.BIR.THRD.NO,12
Slovenia,SVN,"Bird species, threatened",EN.BIR.THRD.NO,10
Solomon Islands,SLB,"Bird species, threatened",EN.BIR.THRD.NO,24
Somalia,SOM,"Bird species, threatened",EN.BIR.THRD.NO,21
South Africa,ZAF,"Bird species, threatened",EN.BIR.THRD.NO,54
South Sudan,SSD,"Bird species, threatened",EN.BIR.THRD.NO,21
Sri Lanka,LKA,"Bird species, threatened",EN.BIR.THRD.NO,16
St. Kitts and Nevis,KNA,"Bird species, threatened",EN.BIR.THRD.NO,3
St. Lucia,LCA,"Bird species, threatened",EN.BIR.THRD.NO,7
St. Martin (French part),MAF,"Bird species, threatened",EN.BIR.THRD.NO,1
St. Vincent and the Grenadines,VCT,"Bird species, threatened",EN.BIR.THRD.NO,4
Sudan,SDN,"Bird species, threatened",EN.BIR.THRD.NO,26
Suriname,SUR,"Bird species, threatened",EN.BIR.THRD.NO,9
Sweden,SWE,"Bird species, threatened",EN.BIR.THRD.NO,11
Syrian Arab Republic,SYR,"Bird species, threatened",EN.BIR.THRD.NO,17
Tajikistan,TJK,"Bird species, threatened",EN.BIR.THRD.NO,15
Tanzania,TZA,"Bird species, threatened",EN.BIR.THRD.NO,49
Thailand,THA,"Bird species, threatened",EN.BIR.THRD.NO,62
Timor-Leste,TLS,"Bird species, threatened",EN.BIR.THRD.NO,6
Togo,TGO,"Bird species, threatened",EN.BIR.THRD.NO,13
Tonga,TON,"Bird species, threatened",EN.BIR.THRD.NO,5
Trinidad and Tobago,TTO,"Bird species, threatened",EN.BIR.THRD.NO,5
Tunisia,TUN,"Bird species, threatened",EN.BIR.THRD.NO,11
Turkmenistan,TKM,"Bird species, threatened",EN.BIR.THRD.NO,19
Turks and Caicos Islands,TCA,"Bird species, threatened",EN.BIR.THRD.NO,4
Tuvalu,TUV,"Bird species, threatened",EN.BIR.THRD.NO,1
Uganda,UGA,"Bird species, threatened",EN.BIR.THRD.NO,30
Ukraine,UKR,"Bird species, threatened",EN.BIR.THRD.NO,17
United Arab Emirates,ARE,"Bird species, threatened",EN.BIR.THRD.NO,13
Uruguay,URY,"Bird species, threatened",EN.BIR.THRD.NO,22
Uzbekistan,UZB,"Bird species, threatened",EN.BIR.THRD.NO,19
Vanuatu,VUT,"Bird species, threatened",EN.BIR.THRD.NO,8
"Venezuela, RB",VEN,"Bird species, threatened",EN.BIR.THRD.NO,52
Vietnam,VNM,"Bird species, threatened",EN.BIR.THRD.NO,52
Virgin Islands (U.S.),VIR,"Bird species, threatened",EN.BIR.THRD.NO,3
West Bank and Gaza,PSE,"Bird species, threatened",EN.BIR.THRD.NO,15
"Yemen, Rep.",YEM,"Bird species, threatened",EN.BIR.THRD.NO,16
Zambia,ZMB,"Bird species, threatened",EN.BIR.THRD.NO,20
Zimbabwe,ZWE,"Bird species, threatened",EN.BIR.THRD.NO,19